ID;MSLG
220;PEZ COLOR AZUL MI FAVORITO
749;YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER
180;SU LIBRO MATEMÁTICAS USTEDES SACAR
239;YO NECESITAR PAPEL PARA AGUA ABSORBER
673;dm-ISABEL TENER SU CORONA ORO
659;ESTE JUGUETE BARATO
402;¿TUYA MAESTRO+MUJER TÚ PONER-ATENCIÓN ELLA?
132;MI MAMÁ USA CREMA-DE-COSMÉTICO
568;SIEMPRE BEBÉ EXPRESAR EXPRESAR
613;AYER MI TIO SAN FRANCISCO YA LLEGAR
520;A-FUERZA TÚ DEBER TÚ PAGAR MÍ
258;ESA ANTENA CARA VERDAD
638;TEPITO LUGAR FAMOSO
666;YO YA GANAR CAMPEONATO
308;SACAR-COPIA TÚ DEBER
316;YA ÉL ARRESTADO ESO FEO VERDAD
372;MI SOBRINO ALTO
560;SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER
884;MI HIJO+MUJER ELLA GUSTAR PATO MUCHO
310;SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER
121;DOMINGO YO CONFIRMACIÓN YO IR
264;¿TÚ YA CONOCER ARGENTINA?
703;ÁFRICA ADENTRO GHANA
270;AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO
143;CHAPULTEPEC YO YA VER ALGUNO DELFÍN
922;MAESTRA MATEMÁTICAS MUCHAS BROMAS
620;¿TÚ DECIR ESO SEGURO?
445;AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR
629;MI SUEGRO TRABAJO TRABAJO
553;YO OLVIDAR CONTRASEÑA
669;ÚNICO MUJER TENER SU CLITORIS
427;CANADÁ CASCADA dm-CATARATAS DEL NIÁGARA BONITA
503;HOY NUEVO SACERDOTE YO YA CONOCER ÉL
773;ESE ELEFANTE OREJÓN CHISTOSO
224;dm-ALONDRA YA PROMETER SU MAMÁ FUTURO MÉDICO
383;MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA
877;CUADERNO YO NECESITAR
890;YA MÉXICO NACIONAL MÍ PAPÁ DOS-DE-NOSOTROS-ABANDONAR MÍ
475;CHUPÓN DEBE DAR BEBÉ
109;MI HERMANO TENER DIENTE DIENTE CHUECO
859;AYER COCA-COLA YO COMPRAR
478;AHORITA NIÑO DIOS YA MECER
601;EJERCER-REMAR AYUDA CUERPO SANO
820;TUS OJOS HERMOSOS COLOR CAFÉ
292;AYER NOCHE METRO CAOS
407;MI VECINO+MUJER SU HIJO+MUJER TENER AUTISMO
542;CARRETILLA-DE-CARGA COSTALES LLEVAR
215;LLOVER TARDE PARECE
869;¿TÚ CONTESTAR MI PREGUNTA PODER?
624;SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR
840;¿TÚ YA CENAR?
464;CREDENCIAL VOTAR HABER MI HUELLA
417;MI PUERTA COLOR AZUL YO YA PINTAR
441;PLAYA MUCHOS COCOS YO ENCONTRAR YA
583;PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR
908;YO TENER-CULPA
932;NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO
844;10 MAÑANA NOS-VEMOS METRO CHABACANO
559;VACUNAS PROTEGER ENFERMEDAD
66;BARRERAS COMUNICACIÓN QUITAR PODER
973;dm-EDGAR MAESTRO
41;dm-SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO
733;JAPÓN ESE ISLA BONITO
800;ESO FEO PARECE VULGAR
720;MI TÍO GUATEMALA VIVIR
13;¡JARRÓN YO ROMPER, PERDÓN, ACCIDENTE!
672;SIEMPRE NIÑO SUEÑO
141;BLOQUEAR PROTEGER SOL
57;BAJA-CALIFORNIA-SUR PLAYA DIFERENTES MUCHO LIMPIO
415;ADORNAR NAVIDAD MI ABUELO AYUDAR
655;12% SUELDO YA AUMENTAR
785;DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA
647;WINDSURF NECESITAR VIENTO MAR
323;MUCHO ESFUERZO TÚ DEBER META TÚ ALCANZAR
697;YO GUSTAR GALLETA DIFERENTE GAMESA
635;TAIWÁN ISLA
450;SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE
184;MESA NUEVA YO QUERER
430;CESÁREA YO NACER YA
668;CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR
518;MUJER TENER VÁGINA
811;CASA AZOTEAarriba YO LIMPIAR YA
682;NUEVO CD YO YA PERDER
486;OTRO LIBRO YO TENER
259;APAGAR LUZ POR-FAVOR
612;PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO
510;PONTE-SUDADERA NOSOTROS IR CORRER
685;EFECTIVO NINGÚN YO TRAER
889;dm-ANA SUYO PERRO ABANDONAR YA
135;CANCÚN HABER CRUCERO
200;YO YA VISITAR MURAL dm-DIEGO-RIVERA
708;GOBIERNO CUIDAR PERSONA
965;ESTADOS UNIDOS DIFÍCIL VIVIR
146;CASA AMIGO DETRÁS MI CASA
204;TODOS-LUNES ALUMNOS CANTAR HIMNO NACIONAL
972;LLUVIA TUBO ROMPER
182;COMIDA MENOS YO QUERER
251;NUEVA ALMOHADA YO YA COMPRAR ¡SUERTE!
863;COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD
751;AYER YO PERDER MI LIGA
850;CHINA HABER MUCHAS PERSONAS
217;ODONTOLOGÍA YO PENSAR ESTUDIAR
494;MESA FIERRO PESADO
939;IMPUESTOS PAGAR TUYO OBLIGACIÓN
600;RASURADORA YO QUERER COMPRAR
293;BARCO CAPITÁN él INTELIGENTE
311;ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER
165;NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR
412;SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA
451;SAPO YA CONVERTIR PERSONA PRÍNCIPE
363;DIARIO MI HERMANO AGENDA REVISAR
502;SEXTO-Primaria MI HIJO YA REPROBAR
924;MI PRIMO UNIVERSIDAD YA INGRESAR
541;IGLESIA CAMPANA GRANDE
823;¡CAFÉ CALIENTE!
361;ADVENTISTA TODOS-SÁBADOS DESCANSAR ELLOS DIOS ADORAR
619;YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR
547;NEZAHUALCÓYOTL MUCHO CHOLO
43;dm-ROSALÍA TRABAJAR ARCHIVO HOSPITAL
307;YO TENER TRABAJO YA CONTENTO YO
931;DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE
712;ÉL GRAVE
71;#VGT, #LSFB AMBOS SU LENGUA-DE-SEÑAS SU PAÍS BÉLGICA
631;SUIZA DIFERENTE DIFERENTE IDIOMA HABLAR
539;DIARIO PARQUE dm-SALVADOR BOX EJERCER
536;AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR
256;ESE PROFESOR SIEMPRE AMARGADO ESO ¡FEO!
633;CARNE YO COMPRAR SUPERMERCADO
795;SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI
747;ESE LIBRO YO GUSTAR
446;AYER CINE MI PRIMO YA ÉL CONQUISTAR ELLA MI AMIGO+MUJER
117;CARRERA MEDICINA CONCENTRACIÓN A-FUERZA
686;HOSPITALacá TODA ENFERMERA AMABLE
110;YO CLAVADO HÁBIL YO
154;MI HERMANO+MUJER YA EMBARAZADA
358;ADÁN PRIMER HOMBRE MUNDO DIOS HACER
348;ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA
806;YO YA COMPRAR NUEVA ALMOHADA PARA CAMA
876;MALTRATO ANIMAL CRIMEN
211;VACACIONES dm-LUIS IR PANAMÁ
346;MI HIJO YO ABANDONAR
913;DESIERTO DIFÍCIL VIVIR
312;AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE
702;AÑO-PASADO MI GENERACIÓN GRADUAR
63;YO IR BAÑO
691;ÉL MI EX NOVIO
898;CINE MI AMIGO ÉL BESAR MÍ YA
717;¿TÚ GRUPO NÚMERO CUÁL?
419;MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO
399;LUGAR TOKIO SU ASIA
208;FRASCO DULCES NO-HAY
970;TABLE-DANCE MUJER DIFERENTE BAILA MESA
587;MALETA TÚ PODER LLEVAR
495;NIÑO NIÑO TENER PIOJO
606;COMIDA FALTA SAL POQUITO
193;ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA
548;CUATRO CILINDRO MI CARRO USAR
152;HOMBRE EGIPCIO NO RESPONDER
905;HOY YO ARROZ COMER
14;MI HERMANO ACTIVO
112;MI TÍO+MUJER DELICIOSO COCINAR
53;dm-LUZ BABY-SHOWER MAÑANA
42;dm-JUANA SU AMIGO ÁRABE
104;MI TÍO TENER CASA CUERNAVACA
928;YO TENER ESCUELA MUCHO AMIGO AMIGO
78;AYER YO PASEAR SENTIR BIEN
664;MÍ MAMÁ COMPRAR CALZÓN
893;YO DECIR NO-PODER YO DEBER AGUANTAR
335;AYER SU ROPA SUCIA MI HERMANO LAVAR
192;MI JEFE ÉL PAGAR MÍ SUELDO MITAD
16;JEHOVÁ YO ADORAR
966;YO NO-FUI COMPUTADORA NO-SIRVE
567;POLVO YO MUCHO ESTORNUDAR
322;YO SUERTE LOGRAR YO PODER
479;NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ
714;TROMBÓN SONIDO GRAVE TENER
138;MÉXICO BIBLIOTECA GRANDE
181;MADRUGADA EXPLOSIÓN YO ESCUCHAR
329;PULPO YO YA COMER DELICOSO
729;YO YA SABER LEER INGLÉS IDIOMA
578;TÚ HURAÑO TÚ
238;A-VECES YO IR CASA SIEMPRE NO
344;COLADERA TÚ A-SALVO CAER
822;SU #SEP CALENDARIO AGOSTO TERMINAR
473;LLANTA COCHE TÚ DEBER CAMBIAR
628;dm-ALICIA YA VIAJAR SUDÁFRICA
83;dm-SANTIAGO MONEDA GUARDAR-BOLSILLO
212;MOCHILA ROJA HABER DOS PAÑAL
349;MÍ ABUELO+MUJER 90 EDAD
855;CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY
554;ESE HOMBRE JOVEN BUEN CORREDOR
468;IRÁN BANDERA COLOR VERDE BLANCO ROJO
596;#TV PUBLICIDAD HABER MUCHO
570;FRONTERA TIJUANA MÍ TÍO VIVIR
326;dm-AIMÉ SALTAR PARACAIDAS
977;dm-EDGAR FUTURO MAESTRO
106;POLICÍA AMBULANCIA PASO ÉL CEDER
261;YO QUERER APRENDER MUCHO COSA
82;SUÉTER BLANCO YO PERDER
964;TODAVÍA MI TAREA YO NO TERMINAR
721;GUERRERO ESTADO BONITO
524;CANTAR+MUJER dm-MADONNA ELLOS ADMIRAR ELLA
240;YA MUCHO ÉL ABUSAR YO
22;AHORA TÚ RECÁMARA TÚ LIMPIAR
173;DINERO NADA ESO GRATIS
544;TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR
416;PARQUE ADENTRO AZCAPOTZALCO NOSOTROS IR
374;ÁLVARO OBREGÓN YO VIVIR
534;BERLÍN CAPITAL SU ALEMANIA
797;UNIVERSIDAD GALLAUDET FAMOSA
0;TARDE ¿POR QUÉ?
866;CONGRESO NUEVA LEY APROBAR YA
244;TÚ YA DEBER RESPONSABLE TÚ YA ADULTO
760;ESE CARRO NUEVO LUJOSO
782;MUCHOS POLICÍA HABER MANIFESTACIÓN
838;PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR
904;PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN
589;TÚ MALO NO DEBER
648;PAYASO ZAPATO SUYO COLOR AMARILLO
771;OJALÁ TÚ ÉXITO
540;CAJÓN HOJAS BLANCAS HAY
755;¿DÓNDE TUYO LOCAL?
452;MI CRONÓMETRO YA PERDER
119;DOMINGO IGLESIA YO IR CONFESAR YO
386;dm-TOMÁS APÓSTOL JESÚS
38;dm-JUAN ASUNTO APARTE
77;DIARIO BIBLIA dm-ARTURO LEER
318;TÚ ENOJAR NO POR-FAVOR
615;#TV NOTICIA FEA LUGAR SANTIAGO-DE-CHILE
719;AÑO-PASADO YO VIAJAR GUANAJUATO
791;MI HERMANO+MUJER SNORKELING ELLA PRACTICAR
756;ESE HOMBRE LOCO PARECER
979;SOPA CALIENTE
4;¿QUÉ-PASO?
937;MÉXICO PAPA Él REGAÑAR OBISPO
281;ESO BONITO SÍ YO GUSTAR
953;MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR
51;dm-MARIBEL DIPLOMA NIVEL AVANZADO
405;AUSTRALIA DECIR HABER MUCHO CANGURO
15;ANTES ADOLFO-LÓPEZ-MATEOS ÉL PRESIDENTE MÉXICO
456;YA TÚ DECIR MÍ NO ELUDIR PREGUNTA
216;dm-MIGUEL PECHO ÉL DOLER
108;MI ABUELO+MUJER HACER RICO CHOCOLATE
662;BRASILIA BONITO
228;dm-JUANA LSM ELLA SABER
807;ALMOHADA CÓMODA ALMOHADA PARA DORMIR
872;MUCHO PERSONA CORÁN ELLOS CREER
250;ESE SUAVE PARECE ALGODÓN
946;MARATÓN MI PRIMO MEDALLA ORO YA GANAR
766;YO AVISAR TI ME-LA-VAS-A-PAGAR ME-LA-VAS-A-PAGAR
373;ÉL BUENO ALUMNO Él
681;YO NECESITAR DINERO PAGAR GASOLINA
218;CAJA PEQUEÑA SU COLOR ROJO
674;CORONA-DE-OLIVO ELLOS PONER ÉL
711;COMIDA TENER MUCHO GRASA
516;PLAYA TORTUGA HABER
357;BIBLIA DENTRO ADÁN NOMBRE HABER
636;MI TARJETA-DE-CRÉDITO YO PAGAR
387;¿CÓMO SEÑA dm-APÓSTOLES?
891;SU HIJO ÉL ABANDONAR
377;YO SIEMPRE ORAR YO DECIR AMÉN
579;MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA
834;ELLA CARA BONITA
148;SIEMPRE ÉL DISTRAÍDO
231;ESTA SERVILLETA SUCIA
257;ANIMAL DIFERENTES DIFERENTES BONITO VERDAD
623;SEMANA PASADA, YO IR PLAZA UNIVERSIDAD
87;BOSNIA-HERZEGOVINA ESE PAÍS LEJOS
499;HOY MÍ CELULAR YO YA TENER SALDO
900;ELLA TENER CABELLO-LACÍO
532;AÑO-PASADO UNIVERSIDAD YO TERMINAR
460;ESTONIA FRONTERA RUSIA
565;MERCADO BARATA MUCHA ESCOBA DIFERENTE VENDER
920;dm-PABLO FLOJO
783;POLICÍA AGENTE NOSOTROS PROTEGER MÍ
107;TODO-SÁBADO TODO-SÁBADO CEPAMEX dm-RAÚL ENTRENAR
694;ÉL EJERCER EJERCER FORTALECER
594;MI MAMÁ COCINA OLLA-EXPRÉS POLLO CALDO SABROSO
436;SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO
605;LUGAR FABRICA SABRITAS HAY TRABAJO PARA PERSONAS
397;CONSTITUCIÓN TENER MUCHOS ARTÍCULOS
727;HUNGRÍA ESE PAÍS LEJOS
470;YO IR TIENDA COMPRAR JABÓN YA
319;BANDERA MÉXICO ESCUDO ESE MUCHO BONITO
225;PRÓXIMO CONFERENCIA LUGAR MONTERREY
233;dm-MARÍA dm-DANIEL AMBOS IR TEATRO
689;MI ABUELO TENER RIFLE VIEJO
762;ELLA TENER LUNAR BONITO
242;AYER ADIÓS TÚ DECIR NADA
693;CUADERNO FEO
744;LEY ROBAR PROHIBIR
55;dm-MARIANA BAILAR ELLA GUSTAR
381;ANTIER PALACIO-DE-LOS-DEPORTES dm-MAGNETO CANTAR AUDITORIO YO IR
896;PAYASO MUCHO MAQUILLAJE
809;AYER MAMÁ PREPARAR ATOLE
199;SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR
968;MONTAÑA RUSA TÚ COBARDE NO
919;YO EMOCIONADO NUEVO INGRESAR TRABAJO
974;ANTES dm-MIGUEL NOVIO
28;dm-SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR
963;MI PERRO SUMISO MOLESTAR
133;FRESAS CON CREMA YO GUSTAR
378;IGLESIA NOSOTROS-DE-DOS DECIR AMÉN
505;PERRO MUCHO SED
101;MI TRABAJO MUCHO CANSAR CANSAR
804;TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE
634;NOSOTROS CAMINAR A SUR PARA AGUA ENCONTRAR
575;NOSOTROS ABRIR-HORNO PARA PASTEL
392;MI NOVIO NACER LUGAR ARGENTINA
918;YO VIAJE FRANCIA YO EMOCIONAR YA
493;POLICÍA PERSEGUIR JOVEN
732;dm-JOSÉ APRENDER IDIOMA ITALIA
650;¡YO ASUSTAR ALMA DESAPARECER!
604;PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE
537;COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER
506;DOS-DE-NOSOTROS YA SEPARAR
878;CUBA CALOR
284;ESA PIEDRA BONITA BRILLO MUCHO
454;NADA YO NO-QUERER NADA
337;dm-MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE
735;CHAPULTEPEC HABER LAGO
298;ENTRAR ANIMAL NIÑO VER MONO
334;PELÍCULAS CON SUBTÍTULOS MI NOVIO NOSOTROS-DE-DOS VER
31;MAÑANA AMANECER NOSOTROS ENCONTRAR
640;TÚ BASURA TIRAR
352;DELEGACIÓN YO YA IR ACTA LEVANTAR
145;QUIZÁ YO LLEGAR TARDE TRABAJO ELLOS PODER DESPEDIR
463;HOY CUMPLEAÑOS MÍ
353;MI AMIGO dm-JULIO TENER ACTA-DEMANDA
739;LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA
67;PAVO COMIDA BASICA NAVIDAD
947;NOCHE OSCURA
466;INDIA SÉPTIMO PAÍS MÁS GRANDE MUNDO
356;ACTOR dm-TOM CRUICE FAMOSO
489;PANADERÍA YO IR
969;SUBURBANO VIAJAR VELOCIDAD
675;YO JUGAR PARTICIPAR DEPORTIVO-GALEANA
245;MAÑANA YO VIAJAR ÁFRICA
909;AYER MI HERMANO PASTEL ÉL DAR MÍ
927;VECINO Él PEDIR MI CARRO MOVER
368;ALCOHOL YO NO-GUSTAR
768;DOS-DE-NOSOTROS NOS-VEMOS MAÑANA NOCHE
26;TODOS IGLESIA GRITAR ¡ALELUYA!
687;CIUDAD-DE-MÉXICO ENORME
195;MI AMIGO+MUJER MODELO SU REVISTA
599;JOVEN HOMBRE DEPORTE RAFTING
125;YO YA CONVENCER MI AMIGO IR FIESTA
50;ESCUELA CONSTRUCCIÓN YA AVANZADA
65;MAÑANA BARCO YA LLEGAR
235;INVIERNO dm-JOSÉ TOS ENFERMAR
576;SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR
895;SIEMPRE ELLOS DISCUTIR
227;PIZZA OCHO ELLOS REBANAR
796;MI HERMANO+MUJER NO NACER TEXAS
275;YO CONOCER BANGLADESH YA BONITO VERDAD
769;ESE VESTIDO FEO YO NO-GUSTAR
788;YO IR BANCO DINERO RETIRAR
857;dm-JUAN GABRIEL NACER CIUDAD JUÁREZ
513;MI NÚMERO TELÉFONO SUSPENDER YA
3;¿Y-ESO?
404;TUYO SOBRINO ATRÁS MI ESPOSO
710;LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA
253;TÚ EMBARAZO, YA LUEGO TÚ AMAMANTAR
566;DICIEMBRE MUCHAS PERSONAS ESQUIAR IR
558;SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN
331;ESE BLANCO GATO RASGUÑAR
597;HOMBRE GOBERNADOR PUBLICIDAD COLOCAR COLOCAR CALLES
512;AYER SUÉTER YO COMPRAR
614;ALGUNA PERSONA QUERER DONAR SANGRE PODER VENIR HOSPITAL
314;ÉL YA COMPRAR #TV CONTADO
86;TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR
944;MI PRIMO ORIZABA VIVIR
880;AYER MI AUTOMÓVIL YO ENTREGAR-ENGANCHE
379;ALGUNAS PERSONAS ANALFABETO
588;MALETA-DE-RUEDAS MEJOR CUERPO NO DOLER
573;HOY YO IR ZOOLOGICO YO VER YA GORILA
435;SUEGRO MI PRIMO dm-SAMUEL ÉL CIEGO ÉL
406;AUSTRÍA SU PAÍS HERMOSO
488;PAN BOLILLO TÚ COMPRAR
801;ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR
798;VAGINA ADENTRO CUERPO ORIGINAL MUJER
449;YO VIAJAR CONTIGO
122;MI GATO ACARICIAR TRANQUILO
424;CADA NIÑO ESCUELA TENER COMPUTADORA PARA TRABAJAR
6;NO ABOFETEAR MI
269;YO ASUSTAR ARAÑAS YO MIEDO
