ID	SPA	SPA
476	Esa marca es excelente.	ESA MARCA EXCELENTE
707	El gobernador apoyó la construcción de una escuela para alumnos sordos.	GOBERNADOR ESCUELA CONSTRUCCIÓN PARA ALUMNO SORDO APOYAR YA
443	Javier es mi concuño.	dm-JAVIER MI CONCUÑO
665	Yo compré una camisa elegante.	YO CAMISA ELEGANTE YA COMPRAR
661	El bikini es azul.	BIKINI COLOR AZUL
115	Debemos comparar antes de elegir.	ELEGIR ANTES NOSOTROS COMPARAR DEBER
59	Ángela le gusta el ballet desde niña	NIÑO+MUJER dm-ÁNGELA BALLET ELLA GUSTAR
582	El joven es hábil en el kayak.	KAYAK JOVEN HÁBIL
447	Mi consuegro horneó un pastel.	MI CONSUEGRO PASTEL YA HORNEAR
960	Las personas sordas alaban a San Judas.	PERSONA SORDA SAN-JUDAS ALABAR
30	Ana es muy amable.	dm-ANA AMABLE
794	Necesito un taladro para poder arreglarlo.	TALADRO YO NECESITAR PODER ARREGLAR
126	Es muy difícil convencer a mi maestra.	MI MAESTRO+MUJER CONVENCER DIFÍCIL
654	En Tepito hay muchos asaltos.	TEPITO HABER MUCHO ASALTO
25	¡Aléjate! Estoy enojada.	¡ALEJAR! YO ENOJADO
327	Mi cuñada tiene su cabello chino.	MI CUÑADO+MUJER CABELLO CHINO
169	Me pegué en la frente.	FRENTE YO YA PEGAR
2	Muy bien, ¿qué onda?	BIEN ¿QUÉ-PASAR?
921	Mi madrina hierve frijoles diario.	DIARIO MI MADRINO+MUJER FRIJOL HERVIR
957	Tú siempre dices pretextos.	SIEMPRE TÚ PRETEXTO DECIR
209	Mi casa es la número 10.	MI CASA NÚMERO 10
709	Espero que goce en las manos de Dios.	DIOS MANOS GOZAR ÉL YO ESPERAR
444	¿Te casarías conmigo?	¿TÚ YO CASAR? SÍ NO
677	Ya me di cuenta de que eres necio.	YA TÚ NECIO YO DAR-CUENTA
792	Muchos jóvenes se suicidan últimamente, eso es muy raro.	ÚLTIMAMENTE MUCHO JOVEN SUICIDAR ESO MUCHO RARO
350	Mi abuelo tiene 90 años.	MI ABUELO 90 EDAD
158	Rocío ya entró al museo.	dm-ROCÍO MUSEO YA ENTRAR
705	La biblia dice: “Gloria a Dios”	BIBLIA DECIR GLORIA DIOS
384	Ayer leí el Apocalipsis de la Biblia.	AYER BIBLIA APOCALIPSIS YO YA LEER
442	Quiero comer arroz con huevo.	ARROZ CON HUEVO YO QUERER COMER
324	En el rancho de mi tía, diario ordeñan a las vacas.	DIARIO MI TÍO+MUJER RANCHO VACA ORDEÑAR
930	Luis no hace caso a los consejos de su abuela.	dm-LUIS SU ABUELO+MUJER CONSEJO NO-HACER-CASO
345	De aquí a Tijuana me hago 8 horas.	AQUÍ TIJUANA 8 HORA YO HACER
886	¡Qué chido está tu carro!	¡TU CARRO CHIDO!
130	En Corea del Sur hay mucho pescado.	COREA-SUR HABER MUCHO PESCADO
753	El sábado habrá ofertas en Liverpool.	SÁBADO LIVERPOOL HABER OFERTA
196	Compré una camisa moderna.	YO CAMISA MODERNA YA COMPRAR
831	Mi tío fue candidato a gobernador de Chihuahua.	MI TÍO CHIHUAHUA GOBERNADOR CANDIDATO YA
317	Ten cuidado, discriminar está prohibido.	CUIDAR DISCRIMINAR PROHIBIDO
147	Mañana empieza mi dieta.	MAÑANA MI DIETA EMPEZAR
775	¡Es imposible, vi un ovni!	¡IMPOSIBLE YO #OVNI YA VER!
830	Nosotros iremos a Cancún el próximo año.	PRÓXIMO AÑO NOSOTROS CANCÚN IR
767	En la República Mexicana hay 31 estados.	REPÚBLICA-MEXICANA HABER 31 ESTADO
882	Mi maestro me enseña LSM	YO LSM MI MAESTRO ENSEÑAR
818	La cacerola está pesada.	CACEROLA PESADO
949	Mi papá compra su café en Oxxo diariamente.	DIARIO OXXO MI PAPÁ SU CAFÉ COMPRAR
865	Mi abuelo pertenece a la congregación de los Testigos de Jehová.	MI ABUELO CONGREGACIÓN TESTIGOS-DE-JEHOVÁ PERTENECER
642	El hombre torturaba a los animales.	HOMBRE ANIMAL TORTURAR
704	Todos los días voy al gimnasio.	DIARIO YO IR GIMNASIO
887	¿Cuántos hijos tienes?	TÚ HIJO TENER ¿CUÁNTOS?
79	Bienvenido a mi casa	MI CASA BIENVENIDO
