ID,SPA,MSLG
220,Los peces azules son mis favoritos.,PEZ COLOR AZUL MI FAVORITO
749,"Estoy feliz, mi hijo ya tiene licencia de conducir.",YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER
180,Saquen su libro de Matemáticas.,SU LIBRO MATEMÁTICAS USTEDES SACAR
239,Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER
673,Isabel tiene una corona de oro.,dm-ISABEL TENER SU CORONA ORO
659,Este juguete está barato.,ESTE JUGUETE BARATO
402,¿Le pusiste atención a tu maestra?,¿TUYA MAESTRO+MUJER TÚ PONER-ATENCIÓN ELLA?
132,Mi mamá usa crema para la cara.,MI MAMÁ USA CREMA-DE-COSMÉTICO
568,El bebé siempre es muy expresivo.,SIEMPRE BEBÉ EXPRESAR EXPRESAR
613,Ayer llegó mi tío de San Francisco.,AYER MI TIO SAN FRANCISCO YA LLEGAR
520,Debes pagarme a fuerza.,A-FUERZA TÚ DEBER TÚ PAGAR MÍ
258,Esa antena es muy cara.,ESA ANTENA CARA VERDAD
638,Tepito es un lugar muy conocido.,TEPITO LUGAR FAMOSO
666,Yo gané el campeonato.,YO YA GANAR CAMPEONATO
308,Debes sacar una copia.,SACAR-COPIA TÚ DEBER
316,"Él fue arrestado, qué feo.",YA ÉL ARRESTADO ESO FEO VERDAD
372,Mi sobrino es muy alto.,MI SOBRINO ALTO
560,El hijo de mi vecino siempre es muy desobediente.,SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER
884,A mi hija le gustan los patos.,MI HIJO+MUJER ELLA GUSTAR PATO MUCHO
310,"Mi hermana y su amigo siempre están juntos, ahora ella imita su comportamiento.",SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER
121,Iré a una confirmación el domingo.,DOMINGO YO CONFIRMACIÓN YO IR
264,¿Tú ya conoces Argentina?,¿TÚ YA CONOCER ARGENTINA?
703,Ghana está en África.,ÁFRICA ADENTRO GHANA
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO"
143,En Chapultepec vi algunos delfines.,CHAPULTEPEC YO YA VER ALGUNO DELFÍN
922,La maestra de matemáticas dice muchas bromas.,MAESTRA MATEMÁTICAS MUCHAS BROMAS
620,¿Estás seguro de lo que dices?,¿TÚ DECIR ESO SEGURO?
445,Mi primo se peleó conmigo ayer.,AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR
629,Mi suegro es muy trabajador.,MI SUEGRO TRABAJO TRABAJO
553,Olvidé mi contraseña.,YO OLVIDAR CONTRASEÑA
669,Sólo las mujeres tienen clítoris.,ÚNICO MUJER TENER SU CLITORIS
427,"En Canadá están las Cataratas del Niágara, que son hermosas.",CANADÁ CASCADA dm-CATARATAS DEL NIÁGARA BONITA
503,Hoy conocí al nuevo sacerdote.,HOY NUEVO SACERDOTE YO YA CONOCER ÉL
773,Ese elefante orejón es muy chistoso.,ESE ELEFANTE OREJÓN CHISTOSO
224,Alondra le prometió a su mamá ser médico.,dm-ALONDRA YA PROMETER SU MAMÁ FUTURO MÉDICO
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA
877,Necesito un cuaderno.,CUADERNO YO NECESITAR
890,Mi papá nos abandonó en México.,YA MÉXICO NACIONAL MÍ PAPÁ DOS-DE-NOSOTROS-ABANDONAR MÍ
475,Dale el chupón al bebé.,CHUPÓN DEBE DAR BEBÉ
109,Mi hermanito tiene los dientes chuecos.,MI HERMANO TENER DIENTE DIENTE CHUECO
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR
478,Es hora de mecer al niño Dios.,AHORITA NIÑO DIOS YA MECER
601,Remar es un ejercicio que ayuda a la salud.,EJERCER-REMAR AYUDA CUERPO SANO
820,Tú tienes unos hermosos ojos color café.,TUS OJOS HERMOSOS COLOR CAFÉ
292,Anoche el metro era un caos.,AYER NOCHE METRO CAOS
407,La hija de mi vecina tiene autismo.,MI VECINO+MUJER SU HIJO+MUJER TENER AUTISMO
542,Lleva los costales en la carretilla.,CARRETILLA-DE-CARGA COSTALES LLEVAR
215,Al parecer va a llover en la tarde.,LLOVER TARDE PARECE
869,¿Puedes contestar mi pregunta?,¿TÚ CONTESTAR MI PREGUNTA PODER?
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR
840,¿Ya cenaste?,¿TÚ YA CENAR?
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA
417,Pinté mi puerta de color azul.,MI PUERTA COLOR AZUL YO YA PINTAR
441,En la playa encontré muchos cocos.,PLAYA MUCHOS COCOS YO ENCONTRAR YA
583,Nosotros viajaremos el próximo año al Lago de Pátzcuaro.,PRÓXIMO AÑO LUGAR LAGO-DE-PÁTZCUARO NOSOTROS VIAJAR
908,Yo no tengo la culpa.,YO TENER-CULPA
932,No te he visto desde la última navidad.,NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO
844,Nos vemos en el metro chabacano a las 10 de la mañana,10 MAÑANA NOS-VEMOS METRO CHABACANO
559,Las vacunas te protegen de las enfermedades.,VACUNAS PROTEGER ENFERMEDAD
66,Las barreras de comunicación pueden eliminarse.,BARRERAS COMUNICACIÓN QUITAR PODER
973,Edgar es maestro.,dm-EDGAR MAESTRO
41,Sofía se aprovechó del apoyo de sus papás.,dm-SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO
733,Japón es una isla bonita.,JAPÓN ESE ISLA BONITO
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR
720,Mi tío vive en Guatemala.,MI TÍO GUATEMALA VIVIR
13,"¡Rompí el jarrón, perdón, fue un accidente!","¡JARRÓN YO ROMPER, PERDÓN, ACCIDENTE!"
672,El niño siempre tiene sueño.,SIEMPRE NIÑO SUEÑO
141,El bloqueador me protege del sol.,BLOQUEAR PROTEGER SOL
57,Las playas de Baja California Sur son muy limpias.,BAJA-CALIFORNIA-SUR PLAYA DIFERENTES MUCHO LIMPIO
415,Mi abuelo ayuda a la colecta navideña.,ADORNAR NAVIDAD MI ABUELO AYUDAR
655,Aumentó el sueldo en un 12%.,12% SUELDO YA AUMENTAR
785,"Diario manejo mi auto, debo ponerle gasolina.",DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA
647,El windsurf necesita del aire para deslizarse.,WINDSURF NECESITAR VIENTO MAR
