ID	MSLG	Por favor, proporciona la secuencia de glosas en MSLG que deseas traducir.
287	ELLA TENER BUSTO PEQUEÑO	Ella tiene el busto pequeño.
602	MI HERMANO #TV ÉL REPORTERO	Mi hermano es reportero de televisión.
102	dm-JOSÉ SU CARÁCTER FUERTE ÉL	José tiene un carácter fuerte.
8	AHORA TODO DINERO NOSOTROS-DE-TRES NO-PODER PAGAR NOSOTROS-DE-TRES PODER ABONO ABONO	Ahora nosotros tres no podemos pagar todo el dinero, pero podemos dar abonos.
89	AÑO PASADO BOTSUANA YO VIAJAR	El año pasado viajé a Botswana.
522	dm-JUAN SUYO PERRO YA ABANDONAR	Juan ya abandonó a su perro.
339	MAESTRO GIMNASIO BUEN TRASERO	El instructor del gimnasio tiene buen trasero.
243	ANTES ÉL CASADO BIEN LUEGO ADULTERIO ÉL DIVORCIAR FEO	Antes estaba muy bien casado, pero luego hubo una infidelidad y se divorció feo.
81	LIBRO TEMA SOBRE BIOLOGÍA	Un libro de biología.
39	CURSO ABRIL YA POSPONER	El curso de abril se pospuso.
533	TÚ BÉISBOL JUGAR	Tú juegas béisbol.
592	MOTOCICLETA ÉL VIAJAR CUERNAVACA A PACHUCA	Él viaja de Cuernavaca a Pachuca en motocicleta.
234	TORTA POLLO YO GUSTAR	Me gusta la torta de pollo.
255	YO TI AMAR	Te amo.
734	¿JORDANIA HABER LUGAR DÓNDE?	¿Dónde está Jordania?
290	AYER ÉL 20 MIL PESOS CAMBIAR DÓLARES	Ayer cambió 20 mil pesos a dólares.
496	PRESIONAR-BOTÓN TÚ DEBER PARA ABRE-PUERTA	Debes presionar el botón para abrir la puerta.
580	CUERDA LANCHA TÚ JALAR	Jala la cuerda de la lancha.
663	NIÑO BURLAR MUCHO YO	El niño se burla mucho de mí.
757	ESE PLATO DELICIOSO LOCURA	Ese plato está delicioso, ¡es una locura!
272	ESA CULTURA AZTECA MUCHO ANTIGUA	Esa cultura azteca es muy antigua.
360	DIOS NOSOTROS ADORAR	Adoramos a Dios.
581	AGUA SERVIR-JARRA TÚ PODER POR-FAVOR	¿Me puedes servir agua de la jarra, por favor?
137	CUBA CALOR MUCHO	En Cuba hace mucho calor.
657	PRECIO GASOLINA AUMENTAR	El precio de la gasolina aumentó.
715	GRECIA YO YA VIAJAR	Ya viajé a Grecia.
828	HOY LUCHA-LIBRE CINTURÓN-DE-CAMPEONATO	Hoy hay lucha libre por el cinturón de campeonato.
99	MAESTRO+MUJER CALMA ELLA YA PEDIR	La maestra ya pidió calma.
590	TÚ SABER MANEJAR COCHE LEJOS	Sabes manejar el coche en distancias largas.
852	MEDICINA CIENCIA	La medicina es una ciencia.
375	VESTIDO AMARILLO YO COMPRAR YA	Ya compré el vestido amarillo.
36	ANTES YO COMER COMER	Antes comía.
439	CIUDAD-DE-MÉXICO MUCHO TRÁFICO	Hay mucho tráfico en la Ciudad de México.
75	CUANDO TÚ CUMPLIR TÚ TENER BENEFICIOS	Cuando cumplas, tendrás beneficios.
517	YO AYUDAR TI HACER TAREA TÚ MISMO	Te ayudo a hacer tu tarea tú mismo.
247	ALBANIA-PAÍS HERMOSO VERDAD	Albania es un país hermoso, ¿verdad?
438	MAÑANA CIUDAD MONTERREY NOSOTROS IR	Mañana vamos a Monterrey.
748	MI LICENCIA MANEJAR YO YA TRAMITAR	Ya tramité mi licencia de conducir.
498	HOY CIUDAD TÚ QUEDAR NO IR	Hoy te quedas en la ciudad, no te vas.
607	SAL MUCHA CUERPO MAL TÚ DEBER CUIDADO	Mucha sal es mala para el cuerpo, debes tener cuidado.
961	MI ABUELO+MUJER SECRETOS ELLA GUARDAR	Mi abuela guarda secretos.
303	UN-AÑO-PASADO YO IR COLIMA, PLAYA YO YA VISITAR	Hace un año fui a Colima y visité la playa.
867	TODA MI FAMILIA YO NO CONOCER ELLOS	No conozco a toda mi familia.
289	MATEMÁTICAS CLASE CALCULADORA YO USAR	Uso la calculadora en la clase de matemáticas.
763	TODOS-LUNES YO TRABAJAR	Trabajo todos los lunes.
263	MAR ARENA MUCHA HABER	Hay mucha arena en la playa.
948	PRÓXIMA SEMANA dm-ANA OVARIOS OPERAR	La próxima semana operarán a Ana de los ovarios.
787	RESUMEN NOTICIAS #TV HABER YO VER YA	Ya vi el resumen de noticias en la televisión.
176	JAMAICA PAÍS LUGAR BONITO	Jamaica es un país muy bonito.
167	dm-ANDREA EXPEDIENTE GRANDE	El expediente de Andrea es grande.
428	MERCADO SONORA YO IR CENTRO COMPRAR	Voy al Mercado de Sonora, en el centro, a comprar.
741	TORTUGA LENTO CAMINAR	La tortuga camina lento.
29	ALTO NO PASAR NO-PODER	Alto, no se puede pasar.
341	¡FELIZ+APLAUSO dm-EDUARDO EXCELENTE CALIFICACIÓN TÚ TENER!	¡Felicidades, Eduardo, por tu excelente calificación!
812	BARBACOA YO GUSTAR	Me gusta la barbacoa.
72	VACACIONES BÉLGICA MI HERMANO VIAJAR	Mi hermano viajará a Bélgica en vacaciones.
124	DOMINGO AMÉRICA CONTRA GUADALAJARA AMBOS JUGAR	El domingo juegan el América y el Guadalajara.
483	¡NO MAMES ESPAÑOL YO REPROBAR YA!	¡No mames, ya reprobé español!
187	ASOCIACIÓN ESA 300 AFILIA DOS MIEMBROS	Esa asociación tiene 300 miembros.
362	RÍO dm-NILO ESTE GRANDE ADENTRO ÁFRICA	El río Nilo es grande y está en África.
971	PIEDRA-PERFIL CRISTO dm-REDENTOR BRASIL	El Cristo Redentor está en Brasil.
328	YO GUSTAR JUGAR, YO PORTERO	Me gusta jugar, soy portero.
166	YO PERSONA NEGATIVO EVITAR	Evito a las personas negativas.
94	MI ABUELO+MUJER DECIR MÍ BUENAS-TARDES	Mi abuela me dijo buenas tardes.
302	TU ROPA COMBINAR BIEN	Tu ropa combina bien.
