ID	MSLG	SPA
220	PEZ COLOR AZUL MI FAVORITO	Los peces azules son mis favoritos.
749	YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER	Estoy feliz, mi hijo ya tiene licencia de conducir.
180	SU LIBRO MATEMÁTICAS USTEDES SACAR	Saquen su libro de Matemáticas.
239	YO NECESITAR PAPEL PARA AGUA ABSORBER	Necesito papel para absorber el agua.
673	dm-ISABEL TENER SU CORONA ORO	Isabel tiene una corona de oro.
659	ESTE JUGUETE BARATO	Este juguete está barato.
402	¿TUYA MAESTRO+MUJER TÚ PONER-ATENCIÓN ELLA?	¿Le pusiste atención a tu maestra?
132	MI MAMÁ USA CREMA-DE-COSMÉTICO	Mi mamá usa crema para la cara.
568	SIEMPRE BEBÉ EXPRESAR EXPRESAR	El bebé siempre es muy expresivo.
613	AYER MI TIO SAN FRANCISCO YA LLEGAR	Ayer llegó mi tío de San Francisco.
520	A-FUERZA TÚ DEBER TÚ PAGAR MÍ	Debes pagarme a fuerza.
258	ESA ANTENA CARA VERDAD	Esa antena es muy cara.
638	TEPITO LUGAR FAMOSO	Tepito es un lugar muy conocido.
666	YO YA GANAR CAMPEONATO	Yo gané el campeonato.
308	SACAR-COPIA TÚ DEBER	Debes sacar una copia.
316	YA ÉL ARRESTADO ESO FEO VERDAD	Él fue arrestado, qué feo.
372	MI SOBRINO ALTO	Mi sobrino es muy alto.
560	SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER	El hijo de mi vecino siempre es muy desobediente.
884	MI HIJO+MUJER ELLA GUSTAR PATO MUCHO	A mi hija le gustan los patos.
310	SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER	Mi hermana y su amigo siempre están juntos, ahora ella imita su comportamiento.
121	DOMINGO YO CONFIRMACIÓN YO IR	Iré a una confirmación el domingo.
264	¿TÚ YA CONOCER ARGENTINA?	¿Tú ya conoces Argentina?
703	ÁFRICA ADENTRO GHANA	Ghana está en África.
270	AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO	Tú tienes unos audífonos, ¿me los prestas?
143	CHAPULTEPEC YO YA VER ALGUNO DELFÍN	En Chapultepec vi algunos delfines.
922	MAESTRA MATEMÁTICAS MUCHAS BROMAS	La maestra de matemáticas dice muchas bromas.
620	¿TÚ DECIR ESO SEGURO?	¿Estás seguro de lo que dices?
445	AYER MI PRIMO CONMIGO NOSOTROS-DE-DOS PELEAR	Mi primo se peleó conmigo ayer.
629	MI SUEGRO TRABAJO TRABAJO	Mi suegro es muy trabajador.
553	YO OLVIDAR CONTRASEÑA	Olvidé mi contraseña.
669	ÚNICO MUJER TENER SU CLITORIS	Sólo las mujeres tienen clítoris.
427	CANADÁ CASCADA dm-CATARATAS DEL NIÁGARA BONITA	En Canadá están las Cataratas del Niágara, que son hermosas.
503	HOY NUEVO SACERDOTE YO YA CONOCER ÉL	Hoy conocí al nuevo sacerdote.
773	ESE ELEFANTE OREJÓN CHISTOSO	Ese elefante orejón es muy chistoso.
224	dm-ALONDRA YA PROMETER SU MAMÁ FUTURO MÉDICO	Alondra le prometió a su mamá ser médico.
383	MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA	Mis amigos argentinos estudiaron antropología.
877	CUADERNO YO NECESITAR	Necesito un cuaderno.
890	YA MÉXICO NACIONAL MÍ PAPÁ DOS-DE-NOSOTROS-ABANDONAR MÍ	Mi papá nos abandonó en México.
475	CHUPÓN DEBE DAR BEBÉ	Dale el chupón al bebé.
109	MI HERMANO TENER DIENTE DIENTE CHUECO	Mi hermanito tiene los dientes chuecos.
859	AYER COCA-COLA YO COMPRAR	Yo compré una Coca Cola ayer.
478	AHORITA NIÑO DIOS YA MECER	Es hora de mecer al niño Dios.
601	EJERCER-REMAR AYUDA CUERPO SANO	Remar es un ejercicio que ayuda a la salud.
