ID;SPA
220;Los peces azules son mis favoritos.
749;Estoy feliz, mi hijo ya tiene licencia de conducir.
180;Saquen su libro de Matemáticas.
239;Necesito papel para absorber el agua.
673;Isabel tiene una corona de oro.
659;Este juguete está barato.
402;¿Le pusiste atención a tu maestra?
132;Mi mamá usa crema para la cara.
568;El bebé siempre es muy expresivo.
613;Ayer llegó mi tío de San Francisco.
520;Debes pagarme a fuerza.
258;Esa antena es muy cara.
638;Tepito es un lugar muy conocido.
666;Yo gané el campeonato.
308;Debes sacar una copia.
316;Él fue arrestado, qué feo.
372;Mi sobrino es muy alto.
560;El hijo de mi vecino siempre es muy desobediente.
884;A mi hija le gustan los patos.
310;Mi hermana y su amigo siempre están juntos, ahora ella imita su comportamiento.
121;Iré a una confirmación el domingo.
264;¿Tú ya conoces Argentina?
703;Ghana está en África.
270;Tú tienes unos audífonos, ¿me los prestas?
143;En Chapultepec vi algunos delfines.
922;La maestra de matemáticas dice muchas bromas.
620;¿Estás seguro de lo que dices?
445;Mi primo se peleó conmigo ayer.
629;Mi suegro es muy trabajador.
553;Olvidé mi contraseña.
669;Sólo las mujeres tienen clítoris.
427;En Canadá están las Cataratas del Niágara, que son hermosas.
503;Hoy conocí al nuevo sacerdote.
773;Ese elefante orejón es muy chistoso.
224;Alondra le prometió a su mamá ser médico.
383;Mis amigos argentinos estudiaron antropología.
877;Necesito un cuaderno.
890;Mi papá nos abandonó en México.
475;Dale el chupón al bebé.
109;Mi hermanito tiene los dientes chuecos.
859;Yo compré una Coca Cola ayer.
478;Es hora de mecer al niño Dios.
601;Remar es un ejercicio que ayuda a la salud.
820;Tú tienes unos hermosos ojos color café.
292;Anoche el metro era un caos.
407;La hija de mi vecina tiene autismo.
542;Lleva los costales en la carretilla.
215;Al parecer va a llover en la tarde.
869;¿Puedes contestar mi pregunta?
624;El senador explica por qué la gasolina está cara.
840;¿Ya cenaste?
464;La credencial del INE tiene mi huella.
417;Pinté mi puerta de color azul.
441;En la playa encontré muchos cocos.
583;Nosotros viajaremos el próximo año al Lago de Pátzcuaro.
908;Yo no tengo la culpa.
932;No te he visto desde la última navidad.
844;Nos vemos en el metro chabacano a las 10 de la mañana
559;Las vacunas te protegen de las enfermedades.
66;Las barreras de comunicación pueden eliminarse.
973;Edgar es maestro.
41;Sofía se aprovechó del apoyo de sus papás.
733;Japón es una isla bonita.
800;Eso es feo, parece vulgar.
720;Mi tío vive en Guatemala.
13;¡Rompí el jarrón, perdón, fue un accidente!
672;El niño siempre tiene sueño.
141;El bloqueador me protege del sol.
57;Las playas de Baja California Sur son muy limpias.
415;Mi abuelo ayuda a la colecta navideña.
655;Aumentó el sueldo en un 12%.
785;Diario manejo mi auto, debo ponerle gasolina.
647;El windsurf necesita del aire para deslizarse.
323;Debes esforzarte mucho para alcanzar tu meta.
697;Me gustan las galletas Gamesa.
635;Taiwán es una isla.
450;Tu control de videojuego se descompuso la semana pasada.
184;Quiero una mesa nueva.
430;Yo nací por cesárea.
668;MI Mí familia y yo fuimos a Celaya.
518;Las mujeres tienen vágina.
811;Yo limpié la azotea de la casa.
682;Perdí mi nuevo CD.
486;Tengo otro libro.
259;Por favor, apaga la luz.
612;Quiero ir a estudiar el próximo año la universidad en San Diego.
510;Vamos a correr ponte la sudadera.
685;No traigo efectivo.
889;Ana abandonó a su perro.
135;En Cancún hay un crucero.
200;Visité el mural de Diego Rivera.
708;El gobierno cuida a los ciudadanos.
965;Vivir en Estados Unidos es difícil.
146;La casa de mi amigo está detrás de la mía.
204;Los alumnos cantan el himno nacional los lunes.
972;Con la lluvia el tubo se rompió.
182;Yo quiero menos comida.
251;Compré una almohada nueva, ¡qué suerte!
863;Compraré la cena de Navidad en la Comercial Mexicana.
751;Ayer perdí mi liga.
850;En China hay sobrepoblación.
217;Pienso estudiar odontología.
494;La mesa de fierro está muy pesada.
939;Es tu obligación pagar impuestos.
600;Quiero comprar una rasuradora.
293;El capitán del barco es muy inteligente.
311;No te juntes con personas enfermas te pueden contagiar.
165;Estudiamos para el examen.
412;La semana pasada pedí un aventón a la caseta.
451;El sapo se convirtió en príncipe.
363;Mi hermano revisa su agenda diario.
502;Mi hijo reprobó el sexto de primaria.
924;Mi primo ingresó a la universidad.
541;En la iglesia hay una campana muy grande.
823;¡El café está muy caliente!
361;Los Adventistas descansan los sábados y adoran a Dios.
619;Voy a estudiar hasta secundaria y después quiero trabajar.
547;En Nezahualcóyotl hay muchos cholos
43;Rosalía trabaja en el archivo del hospital.
307;Ya tengo trabajo, estoy contento.
931;No hay nadie en mi casa los domingos.
712;Él está muy grave.
71;En Bélgica hay dos lenguas de señas: VGT y LSFB.
631;En Suiza se hablan diferentes idiomas.
539;Salvador entrena box diario en el parque.
536;En diciembre del año pasado, mi jefe viajó a Bogotá.
256;Ese profesor siempre está amargado, ¡qué feo!
633;Yo compro carne en el supermercado.
795;Acostumbro usar taxi siempre.
747;Ese libro me gusta.
446;Ayer mi primo conquistó a mi amiga en el cine.
117;La medicina es una carrera que exige concentración.
686;Todas las enfermeras del hospital son muy amables.
110;Soy muy bueno para los clavados.
154;Mi hermana está embarazada.
358;Adán es el primer hombre creado por Dios en el mundo.
348;El cumpleaños de mi tía es en abril y le haremos fiesta.
806;Compré una almohada nueva para la cama.
876;El maltrato animal es un crimen.
211;Luis fue de vacaciones a Panamá.
346;Yo abandoné a mi hijo.
913;Vivir en el desierto es difícil.
312;Compré este celular ayer pero está muy corriente.
702;Mi generación se graduó el año pasado.
63;Voy al baño.
691;Él es mi ex novio.
898;Mi amigo me besó en el cine.
717;¿Cuál es el número de tu grupo?
419;Mañana habrá descuentos en bolsas de mano en Liverpool.
399;Tokio se ubica en Asia.
208;No hay dulces en el frasco.
970;En el table dance, las mujeres bailan sobre la mesa
587;Puedes llevar una maleta.
495;Los niños tienen piojos.
606;A la comida le faltó un poco de sal.
193;Compraré ropa nueva. Yo estoy a la moda.
548;Mi carro usa cuatro cilindros.
152;El egipcio no respondió.
905;Hoy no comí arroz.
14;Mi hermano es activo.
112;Mi tía cocina delicioso.
53;Mañana será el Baby Shower de Luz.
42;El amigo de Juana es árabe.
104;Mi tío tiene una casa en Cuernavaca.
928;Tengo muchos amigos en la escuela.
78;Ayer fui a pasear y me senti muy bien
664;Mi mamá me compró un calzón.
893;No puedo decirlo, debo aguantarme.
335;Ayer mi hermano lavó su ropa sucia.
192;Mi jefe me pagó la mitad del sueldo.
16;Adoro a Jehová.
966;Yo no fui quien descompuso la computadora.
567;Con mucho polvo, yo estornudo mucho.
322;Yo tuve suerte, lo pude lograr.
479;Me mandas un mensaje de whatsapp en la noche.
714;El trombón tiene un sonido muy grave.
138;La Biblioteca de México es muy grande.
181;En la madrugada escuché una explosión.
329;Yo comí pulpo, es delicioso.
729;Yo sé leer en idioma inglés.
578;Eres un huraño con todos.
238;No siempre voy a casa, sólo a veces.
